
TPR	FPR
0.8627450980392157	0.0
0.8823529411764706	0.0
0.8823529411764706	0.0
0.8823529411764706	0.0
0.8823529411764706	0.0
0.8823529411764706	0.0
0.8823529411764706	0.0
0.8823529411764706	0.0
0.8823529411764706	0.0
0.8823529411764706	0.0
0.8823529411764706	0.0
0.9019607843137255	0.0
0.9019607843137255	0.0
0.9215686274509803	0.0
0.9215686274509803	0.0
0.9411764705882353	0.0
0.9411764705882353	0.0
0.9607843137254902	0.0
0.9607843137254902	0.0
0.9607843137254902	0.0
0.9607843137254902	0.0
0.9607843137254902	0.0
0.9607843137254902	0.0
0.9607843137254902	0.0
0.9607843137254902	0.0
0.9607843137254902	0.0
0.9607843137254902	0.0
0.9607843137254902	0.0
0.9607843137254902	0.0
0.9803921568627451	0.0
0.9803921568627451	0.125
0.9803921568627451	0.125
0.9803921568627451	0.125
0.9803921568627451	0.125
0.9803921568627451	0.125
0.9803921568627451	0.25
0.9803921568627451	0.25
0.9803921568627451	0.25
0.9803921568627451	0.25
0.9803921568627451	0.25
0.9803921568627451	0.25
0.9803921568627451	0.25
0.9803921568627451	0.25
0.9803921568627451	0.25
0.9803921568627451	0.25
0.9803921568627451	0.25
0.9803921568627451	0.25
1.0	0.25
1.0	0.25
1.0	0.25
1.0	0.375
1.0	0.375
1.0	0.375
1.0	0.5
